d,statistic,conf.level,crit.value,p.value,replicates,unique_id,lat,lon
3,17.894855229378706,0.95,13.200397598940741,0.014925373134328401,200,247.96875_31.65625,31.65625,247.96875
3,13.891724023540517,0.95,12.56199127601508,0.03980099502487566,200,247.96875_31.71875,31.71875,247.96875
3,33.73527339977377,0.95,10.267195188438823,0,200,247.96875_31.78125,31.78125,247.96875
3,24.076796424498465,0.95,12.48231832396013,0.00497512437810943,200,247.96875_31.84375,31.84375,247.96875
3,13.850195155176255,0.95,13.66164855480443,0.04477611940298509,200,247.96875_31.90625,31.90625,247.96875
3,23.780976798634573,0.95,13.069803717607344,0.00995024875621886,200,247.96875_31.96875,31.96875,247.96875
3,13.19107595867635,0.95,12.299471314957243,0.04477611940298509,200,247.96875_32.03125,32.03125,247.96875
3,19.02937353503677,0.95,10.827454276413256,0.00497512437810943,200,247.96875_32.09375,32.09375,247.96875
3,36.234834883498685,0.95,10.2033769870099,0,200,247.96875_32.15625,32.15625,247.96875
3,52.05529579652097,0.95,9.020251894865412,0,200,247.96875_32.21875,32.21875,247.96875
